"","Father_A","Father_B","Father_C","Mother_A","Mother_B","Mother_C","D21_A","D21_B","D21_C","T21_A","T21_B","T21_C"
"NM_001322464",241,500,577,200,641,115,245,310,117,298,522,269
"NM_024836",535,1356,1325,587,1290,294,544,913,384,768,1129,655
"NM_001322463",228,449,542,178,581,106,213,283,118,263,459,266
"NM_001322462",263,462,582,193,603,126,240,301,127,282,462,290
"NM_017865",287,209,676,282,329,148,263,188,169,382,254,297
"NM_001193328",245,166,568,232,225,129,228,134,122,310,192,247
"NM_001017434",40,36,60,32,19,12,45,17,24,54,49,43
"NM_170725",55,58,101,56,56,18,58,33,32,79,68,61
"NM_001127391",5,7,13,5,5,1,1,0,12,0,3,5
"NM_001289993",4,7,12,2,5,0,0,0,12,0,3,5
"NR_110620",8,7,14,5,5,1,1,0,15,0,3,4
"NR_110564",0,0,0,0,0,0,0,0,0,0,0,0
"NM_139163",7,7,14,5,5,1,1,0,13,0,3,5
"NM_001371457",3643,2501,3985,3287,3841,1127,3413,1932,1164,4606,2500,1806
"NM_001139488",3744,4130,7501,2808,4006,692,5206,3656,1953,3883,3884,3070
"NM_001135659",1,0,1,0,0,0,0,0,1,3,1,1
"NM_001330085",1,0,1,0,0,0,0,0,1,1,1,1
"NM_001330084",1,0,1,0,0,0,0,0,1,2,1,1
"NM_001330083",1,0,1,0,0,0,0,0,1,2,1,1
"NM_001330078",1,0,1,0,0,0,0,0,1,1,1,1
"NM_138735",2,0,5,0,0,1,0,0,2,1,0,2
"NM_001330088",1,0,0,0,0,0,0,0,1,1,1,1
"NM_001349976",3382,3688,6926,2545,3545,595,4754,3180,1740,3489,3333,2712
"NM_001349981",3552,3880,7294,2677,3791,668,4982,3495,1877,3676,3644,2947
"NM_001349980",3593,3936,7354,2699,3817,671,5027,3524,1900,3710,3667,2973
"NM_001349977",3785,4186,7561,2830,4032,695,5251,3685,1976,3917,3907,3096
"NM_001349978",3321,3517,6971,2526,3422,616,4658,3125,1754,3437,3238,2728
"NM_001349979",3343,3521,7007,2526,3423,616,4658,3126,1754,3466,3239,2728
"NM_001349975",3551,3804,7222,2675,3654,643,4904,3303,1852,3671,3494,2875
"NM_170672",3513,3767,7178,2657,3637,640,4882,3286,1830,3644,3478,2851
"NR_033873",0,2,0,0,0,0,0,0,0,1,0,0
"NM_001330087",1,0,0,0,0,0,0,0,1,1,1,1
"NM_001330086",1,0,1,0,0,0,0,0,1,1,1,1
"NM_000939",4,35,41,27,65,8,22,58,11,31,48,7
"NM_001330095",1,0,0,0,0,0,0,0,1,1,1,1
"NM_001330096",1,0,0,0,0,0,0,0,1,1,1,1
"NM_001330094",1,0,1,0,0,0,0,0,1,1,1,1
"NM_001330077",1,0,0,0,0,0,0,0,1,1,1,1
"NM_001330092",2,0,5,0,0,1,0,0,2,1,0,2
"NM_001330091",2,0,5,0,0,1,0,0,2,1,0,2
"NM_001330082",1,0,0,0,0,0,0,0,1,1,1,1
"NM_004801",1,0,1,0,0,0,0,0,1,1,1,1
"NM_001330097",2,0,5,0,0,1,0,0,2,1,0,2
"NM_001330093",1,0,1,0,0,0,0,0,1,1,1,1
"NM_015376",3097,3317,6567,2360,3190,554,4438,2915,1644,3192,2948,2523
"NR_161189",53,35,112,23,12,5,39,4,3,64,36,54
"NM_001035256",4,37,41,29,73,9,22,65,12,35,54,11
"NM_001319205",4,35,41,27,65,8,22,58,11,32,49,7
"NM_001319204",4,35,41,27,65,8,22,58,11,32,49,7
"NM_001135032",0,0,0,1,1,1,0,2,0,3,3,0
"NM_001369525",0,0,0,1,2,1,0,2,0,3,3,0
"NM_001369524",0,0,0,1,2,1,0,2,0,3,3,0
"NM_032181",0,0,0,1,1,1,0,2,0,3,0,0
"NM_013450",1153,724,5682,1805,1128,519,1608,741,1405,1722,1039,1574
"NM_001289975",1100,702,5518,1739,1066,502,1555,672,1365,1658,960,1518
"NM_001329857",1100,756,5617,1778,1131,520,1633,748,1410,1705,1043,1599
"NM_006898",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001329858",1124,704,5528,1799,1133,515,1588,742,1406,1714,991,1588
"NM_031847",2,0,27,4,0,4,6,0,5,4,7,8
"NM_031845",2,0,27,4,0,4,6,0,5,4,7,8
"NM_001363911",3,0,28,4,3,4,6,2,5,4,9,8
"NM_002374",3,0,28,4,3,4,6,2,5,4,9,8
"NM_001363913",2,0,27,4,0,4,6,0,5,4,7,8
"NM_001363910",3,0,28,4,3,4,6,2,7,4,9,9
"NM_001039538",2,0,27,4,0,4,6,0,7,4,7,9
"NM_001329846",0,0,5,0,0,0,1,0,0,1,1,0
"NM_001329852",0,0,5,0,0,0,1,0,0,1,1,0
"NM_001303052",0,0,5,0,0,0,1,0,0,1,1,0
"NM_001329847",0,0,5,0,0,0,1,0,0,1,1,0
"NM_001329851",0,0,5,0,0,0,1,0,0,1,1,0
"NM_001329849",0,0,5,0,0,0,1,0,0,1,1,0
"NM_001329845",0,0,5,0,0,0,1,0,0,1,1,0
"NM_001329844",0,0,5,0,0,0,1,0,0,1,1,0
"NM_001329848",0,0,5,0,0,0,1,0,0,1,1,0
"NM_015025",0,0,5,0,0,0,1,0,0,1,1,0
"NM_018968",1,0,0,2,5,1,0,2,5,15,6,5
"NM_001321834",931,1329,1649,895,1534,253,1005,790,324,1156,1401,844
"NM_001321836",906,1287,1604,877,1512,252,972,774,318,1127,1379,828
"NM_001321833",898,1278,1595,871,1511,250,961,769,314,1121,1375,822
"NM_001321835",768,1014,1413,696,1193,210,778,623,259,928,1093,670
"NM_016207",888,1247,1573,859,1466,245,951,760,311,1109,1341,807
"NM_014668",6,23,24,4,3,1,0,2,1,5,14,7
"NM_001291328",68,40,240,88,35,24,91,43,90,102,74,131
"NM_020779",387,346,914,549,430,80,554,319,278,517,379,440
"NR_111929",26,6,75,22,8,6,32,14,21,36,7,40
"NM_001006657",396,348,925,561,431,82,556,319,282,517,380,447
"NM_199346",12,14,24,11,18,3,15,28,5,20,10,21
"NM_001318950",0,0,0,1,0,0,0,0,1,0,0,0
"NM_001329113",796,825,1436,503,588,163,702,353,310,848,575,662
"NM_001329115",782,803,1421,498,571,163,676,331,304,814,544,657
"NR_137439",786,784,1414,500,588,163,684,359,304,853,566,643
"NR_137440",792,786,1423,508,590,164,686,361,305,860,567,647
"NR_137437",631,631,1260,427,420,122,536,266,257,664,408,518
"NR_137438",785,763,1420,514,569,166,678,340,306,834,536,649
"NM_003459",0,1,0,1,0,0,0,0,1,0,1,2
"NM_016252",8012,9308,19583,10477,11626,1661,10269,6554,4803,9981,9473,8322
"NM_001329112",698,626,1319,459,485,147,607,295,268,736,459,595
"NM_001318951",0,0,0,1,0,0,0,0,1,0,1,2
"NM_199191",747,750,1377,483,547,159,645,331,292,794,520,631
"NM_000182",3497,5374,5862,4206,7014,1590,3887,3861,1652,4404,5522,2791
"NM_001318949",0,0,0,1,0,0,0,0,1,0,1,2
"NM_004899",771,772,1398,491,564,159,675,353,301,834,551,638
"NM_004304",4,0,0,0,2,0,5,0,0,0,0,0
"NM_001329114",781,772,1404,494,564,159,679,353,304,840,551,640
"NM_001261840",679,653,1310,437,494,139,522,299,266,705,461,555
"NM_199192",762,759,1393,492,567,163,654,337,295,813,535,636
"NM_199194",772,803,1415,495,571,163,672,331,301,808,544,655
"NM_199193",787,812,1431,504,591,167,681,337,304,827,559,660
