Father_A,Father_B_1,Father_B_2,Father_C,Mother_A,Mother_B_1,Mother_B_2,Mother_C,D21_A,D21_B_1,D21_B_2,D21_C,T21_A,T21_B_1,T21_B_2,T21_C
NM_001136217,190,110,245,286,141,70,118,155,136,73,83,419,1069,590,984,739
NM_001278502,25,20,33,45,19,11,24,34,19,11,15,47,121,64,131,118
NM_052929,79,39,96,309,77,39,64,122,77,41,35,383,188,91,188,247
NR_148919,6,0,2,20,10,4,15,8,6,3,3,28,6,1,8,23
NM_024329,307,159,298,708,532,269,433,653,324,192,185,1121,519,278,486,1302
NM_007272,15,5,12,22,8,5,9,4,4,2,6,42,8,3,12,29
NM_033440,19,14,22,56,11,5,13,16,9,3,9,61,35,23,29,55
NM_015849,93,59,104,257,61,30,57,80,73,45,61,331,128,62,95,224
NM_032996,333,175,340,661,240,119,149,345,363,212,197,1134,365,188,392,578
NM_001287811,658,301,713,1450,658,353,501,723,664,405,381,2453,997,529,854,1360
NM_024758,290,143,308,584,276,154,173,324,293,168,152,1011,298,151,279,716
NM_032341,1330,669,1459,2370,982,518,776,1369,1063,611,618,3787,1513,822,1445,2568
NM_015164,1068,542,1103,2654,1069,545,773,1308,927,520,480,3713,1478,763,1445,2885
NM_207348,79,28,84,211,102,52,93,123,61,39,34,233,139,73,142,324
NR_149050,28,18,26,61,31,16,26,40,11,5,9,31,41,19,48,106
NM_001013641,3,1,5,8,6,3,6,10,4,2,3,7,9,4,11,30
NM_001350151,12,3,17,55,16,7,11,22,17,13,15,102,12,9,13,50
NM_001024215,3,1,8,14,4,2,1,10,3,2,6,31,6,4,10,17
NR_024279,338,162,415,770,393,201,286,618,366,219,184,1657,524,278,518,1210
NM_015001,2662,1323,2986,5902,3319,1708,2555,3560,2848,1670,1658,10130,3554,1818,3425,5413
NM_001287604,823,419,846,2075,924,486,669,1219,932,531,492,3372,1164,636,1088,2455
NM_178840,4,1,2,14,8,2,3,9,2,2,2,8,7,2,5,4
NM_001349682,9,6,12,74,10,4,3,10,19,9,13,194,56,30,40,54
NM_001042704,37,15,33,155,37,20,24,47,38,23,10,180,128,62,98,190
NM_000085,18,10,3,19,10,4,5,5,7,5,3,14,18,13,19,24
NM_182623,6,5,5,20,4,3,1,3,9,7,1,19,11,7,13,18
NM_001329090,10,5,13,35,15,9,15,21,4,2,2,45,18,10,12,29
NM_153213,156,82,109,278,63,38,42,83,106,64,69,341,148,78,161,287
NM_030907,27,12,51,120,54,33,31,62,51,33,35,238,106,65,117,155
NM_018994,2144,1104,2357,5176,2227,1136,1748,2532,2037,1137,1278,7729,3453,1842,3260,4801
NM_001271869,1268,645,1355,2998,1755,991,1201,1862,1250,750,761,4855,1697,882,1672,3308
NR_148413,776,389,852,2117,1100,602,765,1257,778,453,503,2834,1067,565,1020,2564
NM_001145278,650,335,715,1645,1027,531,770,1047,617,358,372,2626,957,505,890,1442
NM_018090,650,335,715,1644,1024,529,767,1045,612,356,371,2626,956,504,890,1431
NR_147210,470,233,496,1260,639,345,474,877,404,219,300,2001,684,356,674,1171
NR_023386,426,207,496,1132,627,334,440,777,306,182,220,1553,576,290,563,1151
NM_017940,1038,507,1054,2578,812,448,577,1037,893,489,495,2918,915,477,971,2004
NR_026752,522,277,580,1053,480,244,290,599,580,339,324,1752,635,313,644,1267
NR_027504,171,82,172,371,110,54,68,113,128,89,72,595,182,91,154,412
NR_026567,9,6,11,74,10,3,10,8,4,3,2,48,8,6,5,33
NM_001271733,142,69,148,358,109,46,61,139,116,68,68,519,148,83,145,325
NM_014675,199,111,221,518,176,107,103,257,216,133,132,704,250,129,291,662
NM_001135247,6,4,5,30,5,4,6,7,10,8,7,41,14,7,10,64
NM_022089,132,68,141,404,269,133,223,357,139,90,63,586,289,143,312,677
NM_003000,667,332,710,1355,611,328,475,725,584,318,343,2077,788,400,825,1299
NM_007365,34,14,28,172,68,37,55,117,43,16,18,201,113,58,129,390
NR_148993,1,1,2,4,2,0,0,2,0,0,1,1,4,2,5,0
NR_137288,152,82,146,580,88,44,86,119,157,84,82,539,180,101,179,443
NM_001011722,96,55,85,389,54,24,50,92,89,45,50,377,128,73,119,321
NM_030812,14,8,19,55,13,9,6,5,9,5,6,32,10,3,6,18
NR_125946,0,0,2,4,0,0,0,0,0,0,0,24,0,0,0,0
NM_032880,39,16,40,217,82,48,51,279,117,73,73,479,95,49,89,372
NM_152375,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0
NM_013945,9,3,14,104,13,8,8,21,10,5,4,83,14,4,28,47
NM_152232,5,3,6,29,0,0,2,6,2,0,1,5,5,1,6,7
NM_001319218,212,100,213,421,341,190,227,331,166,93,77,437,308,157,260,511
NM_001136265,904,433,1011,2631,1183,643,825,1610,889,501,487,3879,1351,691,1313,2920
NM_020765,5751,2829,6262,11869,5898,3111,4342,6258,4919,2806,2847,16974,7877,4106,7466,12933
NR_135115,843,412,896,1767,854,446,631,1045,903,536,507,2995,1147,636,1085,1905
NM_015047,1035,497,1088,2176,1070,565,812,1269,1065,616,594,3425,1403,765,1306,2370
NM_016183,278,144,344,559,432,240,284,446,303,179,158,1071,316,166,325,961
NM_001348421,22,10,28,52,21,10,22,27,33,25,17,64,29,15,19,49
NM_012067,27,12,36,80,34,13,28,55,33,19,31,118,28,15,33,84
NM_001320979,185,95,172,347,149,83,116,162,165,104,101,705,190,103,167,432
NM_001040125,419,210,446,1142,452,230,320,584,399,214,190,1523,457,227,448,1147
NM_001206541,4241,2100,4526,8180,5235,2745,3794,6154,3513,1982,2038,10725,5625,2924,5384,10798
NR_135054,63,27,77,147,53,28,48,84,55,30,19,260,81,42,74,111
NM_001204082,1232,625,1423,2535,1142,642,841,1412,1242,728,674,3914,1452,795,1374,2497
NM_001032363,1232,625,1423,2535,1142,642,841,1412,1242,728,674,3914,1452,795,1374,2497
NM_001278164,28,17,33,59,38,19,28,37,9,7,10,57,53,23,46,155
NM_000871,131,63,126,255,59,34,43,112,90,52,48,328,132,65,130,391
NM_001349114,932,492,1035,1996,894,497,679,770,948,509,552,3113,1044,546,1011,2692
NM_001349115,551,278,596,1056,509,282,368,413,606,321,354,1733,631,326,585,1399
NM_015207,367,184,379,968,391,206,267,505,405,232,240,1667,488,274,437,896
NM_014589,6,3,5,15,4,3,4,10,7,4,6,16,5,2,4,10
NM_001161729,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001161727,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_000929,23,10,28,54,24,15,11,31,17,13,9,50,41,22,31,56
NM_012400,1,0,1,8,0,0,0,1,0,0,0,7,0,0,0,17
NM_001271814,1,0,1,8,0,0,0,1,0,0,0,5,0,0,0,17
NM_001360869,3,1,4,8,0,0,2,0,3,1,2,17,2,0,3,34
NM_001367969,4,2,4,20,10,5,8,8,5,4,2,49,32,22,23,96
NM_152376,4,0,1,10,3,1,2,2,2,0,1,17,7,3,4,47
NM_001039500,31,16,39,141,73,40,58,70,155,81,81,620,48,21,41,126
NR_033887,5,3,2,58,11,8,9,13,8,3,8,37,6,2,12,36
NM_018584,1,0,0,6,0,0,0,0,0,0,0,3,1,0,0,0
NM_024544,162,71,210,503,134,71,98,229,166,97,78,844,214,106,187,443
NM_001785,11,7,22,42,15,9,3,27,8,5,6,80,20,9,29,40
NM_032409,412,192,492,1151,519,259,376,753,380,212,220,1375,563,303,472,1277
NR_046507,403,195,464,1077,478,238,351,698,374,212,211,1340,567,294,476,1184
NM_005216,418,187,499,850,391,208,312,484,425,237,241,1573,509,255,474,1004
NM_001122819,20,11,20,95,23,18,12,23,17,12,6,139,53,28,42,64
NM_001103160,31,12,34,73,51,27,35,39,31,19,21,173,43,26,42,96
NM_016287,1379,712,1517,2942,1555,819,1229,1496,1569,922,949,6360,1861,965,1769,2460
NM_001198801,6737,3296,7474,12659,6680,3455,4996,6378,6113,3505,3464,16929,9122,4681,8913,10562
NM_001198803,4382,2156,4714,7505,4315,2229,3230,4046,3858,2249,2197,9828,5914,3081,5714,6376
NM_001113348,1898,981,2115,4838,2266,1163,1747,2035,1721,995,958,4922,1328,670,1323,4963
NR_038404,143,78,184,379,206,119,141,219,101,63,52,460,115,57,128,510
NR_046176,280,147,282,601,125,78,92,105,142,79,75,436,125,65,130,229
NM_001369805,20,6,21,126,22,15,24,37,11,5,2,151,25,15,22,86
NM_001350528,143,67,143,375,163,85,116,145,206,113,116,852,269,136,281,531
NM_001350168,5708,2856,6557,12174,6926,3684,5161,7485,7437,4219,4354,30944,9414,4973,8925,13122
NM_001330394,5704,2854,6550,12140,6895,3668,5140,7461,7409,4200,4340,30832,9392,4963,8905,13077
NM_001013693,36,19,46,113,27,16,23,43,49,31,39,340,127,67,114,360
NM_005529,267,119,302,966,316,157,247,481,376,208,251,2199,957,501,894,1805
NM_007352,6,5,8,34,12,6,6,8,9,5,4,41,11,9,9,13
NM_005747,4,3,9,36,8,4,3,7,8,3,7,30,4,2,8,14
NR_023918,282,148,369,626,401,219,318,449,289,181,180,1037,441,228,443,810
NM_044472,2066,1022,2171,4084,2635,1353,1916,2584,1809,1043,989,6600,2975,1551,2861,4010
NM_030761,462,219,520,1080,663,338,488,636,370,205,234,920,647,330,628,1145
NM_014870,702,368,788,1500,771,420,541,712,689,399,397,2384,970,531,962,1419
NM_001006943,3,0,5,16,2,2,2,5,1,1,1,15,5,4,8,12
NM_001347465,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0
NM_001347620,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
NM_000491,0,0,0,5,2,1,0,1,0,0,0,1,0,0,0,0
