Eli__repA_counts.bed,Eli__repB_counts.bed,Eli__repBss_counts.bed,Eli__repC_counts.bed,Elizabeth__repA_counts.bed,Elizabeth__repB_counts.bed,Elizabeth__repBss_counts.bed,Elizabeth__repC_counts.bed,Eric__repA_counts.bed,Eric__repB_counts.bed,Eric__repBss_counts.bed,Eric__repC_counts.bed,Ethan__repA_counts.bed,Ethan__repB_counts.bed,Ethan__repBss_counts.bed,Ethan__repC_counts.bed
NM_199294,8,4,9,9,8,5,16,17,12,10,6,18,14,7,29,27
NR_036462,17,8,20,33,9,6,19,39,28,22,17,51,16,9,28,51
NM_004401,44,21,44,77,66,38,41,83,27,16,15,119,61,31,75,140
NM_004565,12,7,16,34,27,16,11,41,7,3,14,68,21,13,27,73
NM_001079843,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
NM_001170754,0,0,0,6,0,0,0,4,0,0,0,4,0,0,0,7
NM_007375,13,8,28,91,32,18,24,75,22,15,20,108,42,18,39,98
NM_006610,5,4,1,7,11,7,8,2,0,0,0,14,3,1,2,22
NM_003132,13,7,17,23,17,10,18,54,24,19,11,67,23,12,23,60
NM_002685,30,18,25,95,37,19,34,61,27,12,12,136,45,21,68,95
NM_004958,11,5,20,24,27,17,26,34,11,8,5,52,47,28,38,68
NR_046600,3,1,6,25,16,7,9,6,9,3,5,21,14,10,19,37
NM_021146,8,3,3,26,9,6,1,14,10,5,6,28,18,11,11,30
NM_013319,12,11,16,36,36,25,19,32,28,15,16,63,45,26,29,52
NM_020780,2,1,1,1,4,1,2,7,0,0,0,2,5,2,5,6
NR_104624,2,0,9,8,6,4,4,3,4,1,1,15,10,5,11,4
NM_012168,1,0,1,2,1,0,1,3,0,0,0,11,0,0,0,9
NM_001304791,1,0,1,2,1,0,1,3,0,0,0,10,0,0,0,9
NM_018438,21,10,32,101,31,21,12,78,27,16,22,129,42,21,54,108
NM_001127325,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_198545,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001040195,11,7,17,22,20,13,11,30,11,8,3,20,29,15,34,19
NM_020350,11,7,17,22,24,14,15,34,11,8,3,26,30,16,35,22
